t,Cb,x
221,0.390546156,0.1
221.25,0.123058661,0.1
221.5,0.449514489,0.1
221.75,0.415083865,0.1
222,0.24922572,0.1
222.25,0.212417882,0.1
222.5,0.321915143,0.1
222.75,0.451618645,0.1
223,0.507129074,0.1
223.25,0.310923677,0.1
223.5,0.398106446,0.1
223.75,0.402346331,0.1
224,0.168530408,0.1
224.25,0.020644005,0.1
224.5,0.223457155,0.1
224.75,0.331110722,0.1
225,0.448261947,0.1
225.25,0.274115528,0.1
225.5,0.230180415,0.1
225.75,0.378334932,0.1
226,0.317243348,0.1
226.25,0.198708108,0.1
226.5,0.197174609,0.1
226.75,0.281063427,0.1
227,0.3519529,0.1
227.25,0.249655014,0.1
227.5,0.370199455,0.1
227.75,0.264714742,0.1
228,0.299216342,0.1
228.25,0.225902793,0.1
228.5,0.374575348,0.1
228.75,0.239876181,0.1
229,0.214903167,0.1
229.25,0.199118556,0.1
229.5,0.275961381,0.1
229.75,0.432848539,0.1
230,0.163008749,0.1
230.25,0.105448048,0.1
230.5,0.224756484,0.1
230.75,0.291025495,0.1
231,0.049961066,0.1
231.25,0.260598056,0.1
231.5,0.380594027,0.1
231.75,0.456643014,0.1
232,0.358814675,0.1
232.25,0.221946647,0.1
232.5,0.196551763,0.1
232.75,0.111751648,0.1
233,0.212004252,0.1
233.25,0.195984591,0.1
233.5,0.33363087,0.1
233.75,0.29358769,0.1
234,0.30329942,0.1
234.25,0.24870692,0.1
234.5,0.259638321,0.1
234.75,-0.162390269,0.1
235,0.03067509,0.1
235.25,0.333724258,0.1
235.5,0.224618451,0.1
235.75,0.3848018,0.1
236,0.498516455,0.1
236.25,0.337294764,0.1
236.5,0.325844859,0.1
236.75,0.012343788,0.1
237,0.508067274,0.1
237.25,-0.003498961,0.1
237.5,0.051793533,0.1
237.75,0.355100715,0.1
238,0.087717147,0.1
238.25,0.315267188,0.1
238.5,0.541070082,0.1
238.75,0.222620793,0.1
239,0.394052557,0.1
239.25,0.204830022,0.1
239.5,0.446836704,0.1
239.75,0.071984604,0.1
240,0.28198306,0.1
240.25,0.187620444,0.1
240.5,0.240786112,0.1
240.75,0.312561981,0.1
241,0.261443246,0.1
241.25,0.012598786,0.1
241.5,0.17918113,0.1
241.75,0.202760678,0.1
242,0.175646867,0.1
242.25,0.409703605,0.1
242.5,0.396112091,0.1
242.75,0.240603611,0.1
243,0.261157455,0.1
243.25,0.405013286,0.1
243.5,0.108199108,0.1
243.75,0.184880067,0.1
244,0.040696316,0.1
244.25,0.318087088,0.1
244.5,0.390885215,0.1
244.75,0.04112234,0.1
245,0.088443699,0.1
245.25,0.149094788,0.1
245.5,0.162811842,0.1
245.75,0.023600662,0.1
246,0.150656145,0.1
246.25,0.13634337,0.1
246.5,0.233700874,0.1
246.75,0.19024884,0.1
247,0.209691139,0.1
247.25,0.125786986,0.1
247.5,0.169908936,0.1
247.75,0.055436007,0.1
248,0.267685831,0.1
248.25,0.171605564,0.1
248.5,0.186053978,0.1
248.75,0.161346231,0.1
249,0.106663228,0.1
249.25,0.273622995,0.1
249.5,0.324907716,0.1
249.75,0.219413988,0.1
250,0.125876308,0.1
250.25,0.125313853,0.1
250.5,0.23374103,0.1
250.75,0.217031741,0.1
251,0.177906889,0.1
251.25,0.215549168,0.1
251.5,0.15299935,0.1
251.75,0.29899491,0.1
252,0.044141142,0.1
252.25,0.270632391,0.1
252.5,0.218779864,0.1
252.75,0.466302593,0.1
253,0.423569159,0.1
253.25,0.499566991,0.1
253.5,0.773253176,0.1
253.75,0.781614624,0.1
254,0.867706462,0.1
254.25,1.119470473,0.1
254.5,1.138318771,0.1
254.75,1.192870919,0.1
255,1.436637334,0.1
255.25,1.853363646,0.1
255.5,2.025584345,0.1
255.75,2.037096636,0.1
256,2.260180298,0.1
